Point;Latitude;Longitude;Contexte;Integration;NORPAV;NORPINT;NORRR;NORPFL90;NORRR1MM;NORPXCWD;NORPN20MM;NORPXCDD;
282;41.4087;9.1577;RCP8.5;H1;2.03;8.73;742.59;81.46;82.53;7;8;42;
423;41.4925;8.9759;RCP8.5;H1;2.06;8.8;750.88;81.56;83.13;7;9;51;
424;41.4864;9.071;RCP8.5;H1;1.95;8.5;711.3;81.65;81.33;7;8;52;
425;41.4802;9.166;RCP8.5;H1;2.1;8.87;765.33;81.41;83.9;7;9;41;
426;41.4739;9.261;RCP8.5;H1;2.03;8.74;742.93;81.48;82.53;7;8;42;
564;41.5759;8.7935;RCP8.5;H1;1.94;8.18;707.45;79.66;84.37;7;7;46;
565;41.57;8.8888;RCP8.5;H1;1.99;8.39;728.13;79.64;84.7;7;7;46;
566;41.564;8.984;RCP8.5;H1;2.05;8.58;748.9;78.69;85.03;7;8;43;
567;41.5579;9.0791;RCP8.5;H1;2.86;10.36;1046.08;75.82;99.13;8;14;36;
568;41.5517;9.1743;RCP8.5;H1;1.97;8.26;718.86;79.86;84.6;6;7;39;
569;41.5454;9.2694;RCP8.5;H1;1.96;8.24;716.5;79.85;84.43;6;7;39;
707;41.6474;8.8014;RCP8.5;H1;1.95;8.25;713.53;79.63;84.43;7;7;46;
708;41.6415;8.8967;RCP8.5;H1;1.95;8.23;711.58;79.63;84.4;7;7;46;
709;41.6355;8.992;RCP8.5;H1;2.04;8.54;745.36;78.62;85;7;7;43;
710;41.6294;9.0873;RCP8.5;H1;2.71;9.97;989.28;75.85;97.27;8;13;36;
711;41.6232;9.1826;RCP8.5;H1;2.65;9.39;966.94;74.48;101;8;11;32;
712;41.6169;9.2779;RCP8.5;H1;2.04;8;744.02;78.48;89.4;7;7;37;
849;41.7248;8.7138;RCP8.5;H1;2;8.17;730.86;78.85;87.5;7;8;41;
850;41.719;8.8093;RCP8.5;H1;1.89;7.87;691.89;78.85;85.83;7;7;41;
851;41.713;8.9047;RCP8.5;H1;2.18;8.85;797.18;78.35;88.13;7;8;42;
852;41.707;9.0001;RCP8.5;H1;2.69;9.91;981.73;76.38;97.1;8;13;36;
853;41.7009;9.0955;RCP8.5;H1;2.81;10.27;1026.82;76.42;98.07;8;14;35;
854;41.6946;9.1909;RCP8.5;H1;3.05;10.49;1112.96;73.72;104.13;8;14;30;
855;41.6884;9.2863;RCP8.5;H1;2.24;8.6;818.21;78.92;91.2;7;9;35;
