Point;Latitude;Longitude;Contexte;Integration;NORTAV;NORTNAV;NORTXAV;NORTRAV;NORTXQ90;NORTXQ10;NORTNQ10;NORTNQ90;NORTXND;NORTNND;NORTNHT;NORTXHWD;NORTNCWD;NORTNFD;NORTXFD;NORSD;NORTR;NORHDD;NORCDD;
282;41.4087;9.1577;RCP8.5;H1;16.9;13.19;20.61;7.42;29.5;13.16;5.63;21.03;26;6;33;4;0;2;0;105;60;955.02;757.01;
423;41.4925;8.9759;RCP8.5;H1;16.34;12.82;19.86;7.04;28.31;12.56;5.39;20.43;25;5;31;4;0;2;0;93;46;1047.71;654.34;
424;41.4864;9.071;RCP8.5;H1;17.04;13.31;20.77;7.46;29.28;13.43;5.65;21.17;26;6;35;5;0;2;0;105;63;916.49;767.45;
425;41.4802;9.166;RCP8.5;H1;16.51;12.91;20.11;7.19;28.94;12.65;5.49;20.65;25;5;32;4;0;2;0;98;52;1028.29;693.31;
426;41.4739;9.261;RCP8.5;H1;16.9;13.19;20.61;7.42;29.49;13.15;5.63;21.02;26;6;33;4;0;2;0;105;60;956.07;756.02;
564;41.5759;8.7935;RCP8.5;H1;15.66;11.76;19.55;7.8;27.22;12.62;4.57;19.46;20;2;24;2;0;1;0;86;27;1157.8;523.99;
565;41.57;8.8888;RCP8.5;H1;15.35;11.6;19.09;7.49;26.8;12.14;4.52;19.25;21;2;23;2;0;1;0;76;22;1223.78;482.51;
566;41.564;8.984;RCP8.5;H1;14.96;11.27;18.66;7.4;26.56;11.6;4.28;18.61;20;3;24;4;0;2;0;64;14;1299.6;423.11;
567;41.5579;9.0791;RCP8.5;H1;13.34;10.98;15.7;4.72;24.03;8.36;3.77;18.81;24;4;24;6;0;4;0;24;15;1729.77;284.76;
568;41.5517;9.1743;RCP8.5;H1;16.86;13.18;20.55;7.37;28.95;13.08;5.62;21.1;23;7;33;4;0;2;0;105;61;953.71;741.79;
569;41.5454;9.2694;RCP8.5;H1;16.91;13.21;20.61;7.4;29.01;13.14;5.63;21.14;23;7;34;4;0;2;0;106;62;946.05;748.93;
707;41.6474;8.8014;RCP8.5;H1;15.56;11.71;19.41;7.7;27.08;12.48;4.56;19.39;20;2;24;2;0;1;0;83;25;1177.48;510.73;
708;41.6415;8.8967;RCP8.5;H1;15.59;11.73;19.46;7.73;27.13;12.52;4.56;19.42;20;2;24;2;0;1;0;84;26;1171.26;514.9;
709;41.6355;8.992;RCP8.5;H1;15.02;11.3;18.73;7.44;26.62;11.67;4.29;18.65;20;3;24;4;0;2;0;66;15;1287.91;429.5;
710;41.6294;9.0873;RCP8.5;H1;14.05;11.36;16.74;5.37;24.96;9.52;4.31;18.99;22;4;22;5;0;2;0;35;18;1542.14;345.61;
711;41.6232;9.1826;RCP8.5;H1;14.58;11.49;17.67;6.18;25.68;10.42;4.42;19.05;20;3;24;2;0;2;0;48;19;1405.82;394.43;
712;41.6169;9.2779;RCP8.5;H1;17.01;13.33;20.68;7.34;28.77;13.35;5.8;21.23;19;4;30;2;0;0;0;108;65;912.23;749.48;
849;41.7248;8.7138;RCP8.5;H1;15.38;11.62;19.14;7.52;27.05;12.17;4.5;19.36;22;2;23;3;0;2;0;77;25;1219.27;490;
850;41.719;8.8093;RCP8.5;H1;15.98;11.91;20.05;8.14;27.87;13.09;4.56;19.78;21;2;25;3;0;2;0;94;32;1095.39;574.17;
851;41.713;8.9047;RCP8.5;H1;14.31;11.26;17.37;6.12;25.4;10.31;4.23;18.95;21;3;23;5;0;2;0;45;17;1468.24;364.98;
852;41.707;9.0001;RCP8.5;H1;14.34;11.51;17.16;5.66;25.33;9.89;4.49;19.07;21;2;19;5;0;1;0;42;20;1474.96;378.66;
853;41.7009;9.0955;RCP8.5;H1;13.85;11.36;16.34;4.98;24.65;8.98;4.24;19.1;23;2;21;6;0;2;0;31;21;1603.64;338.29;
854;41.6946;9.1909;RCP8.5;H1;12.99;10.87;15.1;4.22;23.4;7.54;3.44;18.93;26;3;27;5;0;5;0;18;20;1839.94;267.81;
855;41.6884;9.2863;RCP8.5;H1;16.14;12.86;19.41;6.56;27.71;11.95;5.62;21.01;23;3;25;1;0;1;0;89;52;1108.86;641.16;
856;41.682;9.3817;RCP8.5;H1;17.2;13.59;20.8;7.2;29.08;13.35;6.13;21.91;22;3;26;1;0;0;0;112;70;904.02;807.66;
993;41.7905;8.8171;RCP8.5;H1;14.67;11.46;17.87;6.41;25.84;10.83;4.46;19.21;25;2;22;4;0;2;0;54;23;1390.23;410.58;
994;41.7845;8.9127;RCP8.5;H1;15.18;11.76;18.6;6.84;26.57;11.51;4.71;19.35;19;2;21;3;0;1;0;67;26;1272.67;474.28;
995;41.7785;9.0083;RCP8.5;H1;12.63;10.52;14.73;4.21;23.17;7.14;3.32;18.62;27;4;26;8;0;5;0;18;14;1926.35;231.44;
996;41.7724;9.1038;RCP8.5;H1;11.82;9.86;13.79;3.92;22.29;6.09;2.47;18.18;29;5;28;9;0;10;1;12;11;2150.19;176.05;
997;41.7661;9.1993;RCP8.5;H1;12.16;10.12;14.21;4.09;22.67;6.46;2.64;18.32;28;6;30;7;0;8;0;12;11;2045.91;188.25;
998;41.7598;9.2948;RCP8.5;H1;14.44;11.67;17.22;5.54;25.72;9.78;4.61;19.86;23;3;22;4;0;2;0;49;35;1470.26;412.63;
1136;41.862;8.8251;RCP8.5;H1;15.04;11.51;18.57;7.06;26.49;11.55;4.49;19.21;24;2;22;4;0;2;0;67;23;1299.82;450.37;
1137;41.856;8.9207;RCP8.5;H1;14.04;11.54;16.54;5.01;24.78;9.33;4.41;19.39;22;2;22;4;0;2;0;34;27;1561.85;363.58;
1138;41.85;9.0164;RCP8.5;H1;13.97;11.32;16.62;5.3;24.83;9.27;4.43;18.99;22;3;21;6;0;2;0;34;19;1561.39;338.33;
1139;41.8439;9.112;RCP8.5;H1;9.72;7.98;11.45;3.47;20.23;3.47;0.1;16.81;39;7;39;12;0;35;6;3;4;2787.37;78.1;
1140;41.8376;9.2077;RCP8.5;H1;10.1;8.31;11.89;3.59;20.57;3.81;0.34;17.03;37;8;41;11;0;31;6;3;4;2654.8;78.79;
1141;41.8313;9.3033;RCP8.5;H1;15.54;12.45;18.62;6.17;27.24;11.07;5.28;20.69;25;4;24;3;0;1;0;71;46;1234.79;557.6;
1277;41.9452;8.6413;RCP8.5;H1;15.28;11.58;18.97;7.38;26.86;11.91;4.5;19.27;23;2;23;3;0;2;0;74;24;1247.67;480.25;
1278;41.9394;8.7372;RCP8.5;H1;15.88;11.88;19.87;7.99;27.65;12.83;4.57;19.7;21;2;23;3;0;2;0;91;32;1121.2;562.75;
1279;41.9335;8.833;RCP8.5;H1;15.48;11.69;19.27;7.57;27.1;12.22;4.54;19.4;22;2;22;3;0;2;0;79;27;1202.91;506.43;
1280;41.9276;8.9288;RCP8.5;H1;13.89;11.17;16.61;5.44;24.72;9.42;4.17;18.87;24;3;24;5;0;3;0;34;18;1579.45;329.86;
1281;41.9215;9.0246;RCP8.5;H1;11.59;9.67;13.5;3.83;22.31;5.74;2.24;18.08;32;5;31;9;0;12;1;12;11;2223.14;166.71;
1282;41.9154;9.1203;RCP8.5;H1;12.13;10.09;14.16;4.06;22.86;6.54;2.81;18.33;29;5;28;8;0;8;1;15;12;2066.53;197.47;
1283;41.9091;9.216;RCP8.5;H1;12.37;10.53;14.21;3.69;22.75;6.42;2.99;18.77;30;4;30;8;0;8;0;11;18;2010.33;221.84;
1284;41.9028;9.3118;RCP8.5;H1;15.83;12.73;18.93;6.19;27.31;11.5;5.52;21.23;23;2;24;2;0;1;0;75;54;1166.48;593;
1421;42.011;8.745;RCP8.5;H1;15.02;11.45;18.59;7.14;26.54;11.53;4.42;19.13;24;2;23;4;0;2;0;66;22;1305.62;449.38;
1422;42.0051;8.8409;RCP8.5;H1;14.92;11.44;18.4;6.96;26.36;11.33;4.42;19.13;24;2;23;4;0;2;0;64;22;1329.36;438.23;
1423;41.9991;8.9368;RCP8.5;H1;12.57;10.55;14.59;4.04;23.15;7.06;3.13;18.82;28;4;29;6;0;7;0;15;18;1954.86;240.73;
